"","Site","Site.Code.x","Sampling.Time","Unique.ID","Plot.ID","Site.code","locale","ocean","margin","Janines.sites","Site.Code.y","Subsite","Subsite.Name","Ocean","Coast","Basin","First.Year.In.ZEN","Latitude","Longitude"
"62","BC.B","BC",1,"BC.B.1.2",2,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"63","BC.B","BC",1,"BC.B.1.3",3,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"64","BC.B","BC",1,"BC.B.1.4",4,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"65","BC.B","BC",1,"BC.B.1.5",5,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"66","BC.B","BC",1,"BC.B.1.6",6,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"67","BC.B","BC",1,"BC.B.1.7",7,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"68","BC.B","BC",1,"BC.B.1.8",8,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"69","BC.B","BC",1,"BC.B.1.9",9,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"70","BC.B","BC",1,"BC.B.1.10",10,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"71","BC.B","BC",1,"BC.B.1.11",11,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"72","BC.B","BC",1,"BC.B.1.12",12,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"73","BC.B","BC",1,"BC.B.1.13",13,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"74","BC.B","BC",1,"BC.B.1.14",14,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"75","BC.B","BC",1,"BC.B.1.15",15,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"76","BC.B","BC",1,"BC.B.1.16",16,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"77","BC.B","BC",1,"BC.B.1.17",17,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"78","BC.B","BC",1,"BC.B.1.18",18,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"79","BC.B","BC",1,"BC.B.1.19",19,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"80","BC.B","BC",1,"BC.B.1.20",20,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
"81","CR.A","CR",1,"CR.A.1.1",1,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"82","CR.A","CR",1,"CR.A.1.2",2,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"83","CR.A","CR",1,"CR.A.1.3",3,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"84","CR.A","CR",1,"CR.A.1.4",4,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"85","CR.A","CR",1,"CR.A.1.5",5,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"86","CR.A","CR",1,"CR.A.1.6",6,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"87","CR.A","CR",1,"CR.A.1.7",7,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"88","CR.A","CR",1,"CR.A.1.8",8,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
